MesAno;Taxa
jan/95;0
fev/95;0,0363
mar/95;0,026
abr/95;0,0426
mai/95;0,0425
jun/95;0,0404
jul/95;0,0402
ago/95;0,0384
set/95;0,0332
out/95;0,0309
nov/95;0,0288
dez/95;0,0278
jan/96;0,0258
fev/96;0,0235
mar/96;0,0222
abr/96;0,0207
mai/96;0,0201
jun/96;0,0198
jul/96;0,0193
ago/96;0,0197
set/96;0,019
out/96;0,0186
nov/96;0,018
dez/96;0,018
jan/97;0,0173
fev/97;0,0167
mar/97;0,0164
abr/97;0,0166
mai/97;0,0158
jun/97;0,0161
jul/97;0,016
ago/97;0,0159
set/97;0,0159
out/97;0,0167
nov/97;0,0304
dez/97;0,0297
jan/98;0,0267
fev/98;0,0213
mar/98;0,022
abr/98;0,0171
mai/98;0,0163
jun/98;0,016
jul/98;0,017
ago/98;0,0148
set/98;0,0249
out/98;0,0294
nov/98;0,0263
dez/98;0,024
jan/99;0,0218
fev/99;0,0238
mar/99;0,0333
abr/99;0,0235
mai/99;0,0202
jun/99;0,0167
jul/99;0,0166
ago/99;0,0157
set/99;0,0149
out/99;0,0138
nov/99;0,0139
dez/99;0,016
jan/00;0,0146
fev/00;0,0145
mar/00;0,0145
abr/00;0,013
mai/00;0,0149
jun/00;0,0139
jul/00;0,0131
ago/00;0,0141
set/00;0,0122
out/00;0,0129
nov/00;0,0122
dez/00;0,012
jan/01;0,0127
fev/01;0,0102
mar/01;0,0126
abr/01;0,0119
mai/01;0,0134
jun/01;0,0127
jul/01;0,015
ago/01;0,016
set/01;0,0132
out/01;0,0153
nov/01;0,0139
dez/01;0,0139
jan/02;0,0153
fev/02;0,0125
mar/02;0,0137
abr/02;0,0148
mai/02;0,0141
jun/02;0,0133
jul/02;0,0154
ago/02;0,0144
set/02;0,0138
out/02;0,0165
nov/02;0,0154
dez/02;0,0174
jan/03;0,0197
fev/03;0,0183
mar/03;0,0178
abr/03;0,0187
mai/03;0,0197
jun/03;0,0186
jul/03;0,0208
ago/03;0,0177
set/03;0,0168
out/03;0,0164
nov/03;0,0134
dez/03;0,0137
jan/04;0,0127
fev/04;0,0108
mar/04;0,0138
abr/04;0,0118
mai/04;0,0123
jun/04;0,0123
jul/04;0,0129
ago/04;0,0129
set/04;0,0125
out/04;0,0121
nov/04;0,0125
dez/04;0,0148
jan/05;0,0138
fev/05;0,0122
mar/05;0,0153
abr/05;0,0141
mai/05;0,015
jun/05;0,0159
jul/05;0,0151
ago/05;0,0166
set/05;0,015
out/05;0,0141
nov/05;0,0138
dez/05;0,0147
jan/06;0,0143
fev/06;0,0115
mar/06;0,0142
abr/06;0,0108
mai/06;0,0128
jun/06;0,0118
jul/06;0,0117
ago/06;0,0126
set/06;0,0106
out/06;0,0109
nov/06;0,0102
dez/06;0,0099
jan/07;0,0108
fev/07;0,0087
mar/07;0,0105
abr/07;0,0094
mai/07;0,0103
jun/07;0,0091
jul/07;0,0097
ago/07;0,0099
set/07;0,008
out/07;0,0093
nov/07;0,0084
dez/07;0,0084
jan/08;0,0093
fev/08;0,008
mar/08;0,0084
abr/08;0,009
mai/08;0,0088
jun/08;0,0096
jul/08;0,0107
ago/08;0,0102
set/08;0,011
out/08;0,0118
nov/08;0,0102
dez/08;0,0112
jan/09;0,0105
fev/09;0,0086
mar/09;0,0097
abr/09;0,0084
mai/09;0,0077
jun/09;0,0076
jul/09;0,0079
ago/09;0,0069
set/09;0,0069
out/09;0,0069
nov/09;0,0066
dez/09;0,0073
jan/10;0,0066
fev/10;0,0059
mar/10;0,0076
abr/10;0,0067
mai/10;0,0075
jun/10;0,0079
jul/10;0,0086
ago/10;0,0089
set/10;0,0085
out/10;0,0081
nov/10;0,0081
dez/10;0,0093
jan/11;0,0086
fev/11;0,0084
mar/11;0,0092
abr/11;0,0084
mai/11;0,0099
jun/11;0,0096
jul/11;0,0097
ago/11;0,0107
set/11;0,0094
out/11;0,0088
nov/11;0,0086
dez/11;0,0091
jan/12;0,0089
fev/12;0,0075
mar/12;0,0082
abr/12;0,0071
mai/12;0,0074
jun/12;0,0064
jul/12;0,0068
ago/12;0,0069
set/12;0,0054
out/12;0,0061
nov/12;0,0055
dez/12;0,0055
jan/13;0,006
fev/13;0,0049
mar/13;0,0055
abr/13;0,0061
mai/13;0,006
jun/13;0,0061
jul/13;0,0072
ago/13;0,0071
set/13;0,0071
out/13;0,0081
nov/13;0,0072
dez/13;0,0079
jan/14;0,0085
fev/14;0,0079
mar/14;0,0077
abr/14;0,0082
mai/14;0,0087
jun/14;0,0082
jul/14;0,0095
ago/14;0,0087
set/14;0,0091
out/14;0,0095
nov/14;0,0084
dez/14;0,0096
jan/15;0,0094
fev/15;0,0082
mar/15;0,0104
abr/15;0,0095
mai/15;0,0099
jun/15;0,0107
jul/15;0,0118
ago/15;0,0111
set/15;0,0111
out/15;0,0111
nov/15;0,0106
dez/15;0,0116
jan/16;0,0106
fev/16;0,01
mar/16;0,0116
abr/16;0,0106
mai/16;0,0111
jun/16;0,0116
jul/16;0,0111
ago/16;0,0122
set/16;0,0111
out/16;0,0105
nov/16;0,0104
dez/16;0,0112
jan/17;0,0109
fev/17;0,0087
mar/17;0,0105
abr/17;0,0079
mai/17;0,0093
jun/17;0,0081
jul/17;0,008
ago/17;0,008
set/17;0,0064
out/17;0,0064
nov/17;0,0057
dez/17;0,0054
jan/18;0,0058
fev/18;0,0047
mar/18;0,0053
abr/18;0,0052
mai/18;0,0052
jun/18;0,0052
jul/18;0,0054
ago/18;0,0057
set/18;0,0047
out/18;0,0054
nov/18;0,0049
dez/18;0,0049
jan/19;0,0054
fev/19;0,0049
mar/19;0,0047
abr/19;0,0052
mai/19;0,0054
jun/19;0,0047
jul/19;0,0057
ago/19;0,005
set/19;0,0046
out/19;0,0048
nov/19;0,0038
dez/19;0,0037
jan/20;0,0038
fev/20;0,0029
mar/20;0,0034
abr/20;0,0028
mai/20;0,0024
jun/20;0,0021
jul/20;0,0019
ago/20;0,0016
set/20;0,0016
out/20;0,0016
nov/20;0,0015
dez/20;0,0016
jan/21;0,0015
fev/21;0,0013
mar/21;0,002
abr/21;0,0021
mai/21;0,0027
jun/21;0,0031
jul/21;0,0036
ago/21;0,0043
set/21;0,0044
out/21;0,0049
nov/21;0,0059
dez/21;0,0077
jan/22;0,0073
fev/22;0,0076
mar/22;0,0093
abr/22;0,0083
mai/22;0,0103
jun/22;0,0102
jul/22;0,0103
ago/22;0,0117
set/22;0,0107
out/22;0,0102
nov/22;0,0102
dez/22;0,0112
jan/23;0,0112
fev/23;0,0092
mar/23;0,0117
abr/23;0,0092
mai/23;0,0112
jun/23;0,0107
jul/23;0,0107
ago/23;0,0114
set/23;0,0097
out/23;0,01
nov/23;0,0092
dez/23;0,0089
jan/24;0,0097
fev/24;0,008
mar/24;0,0083
abr/24;0,0089
mai/24;0,0083
jun/24;0,0079
jul/24;0,0091
ago/24;0,0087
set/24;0,0084
out/24;0,0093
nov/24;0,0079
dez/24;0,0093
jan/25;0,0101
fev/25;0,0099
mar/25;0,0096
abr/25;0,0106
mai/25;0,0114
jun/25;0,011
jul/25;0,0128
ago/25;0,0116
set/25;0,0122
out/25;0
nov/25;0
dez/25;0
jan/26;0
fev/26;0
mar/26;0
abr/26;0
mai/26;0
jun/26;0
jul/26;0
ago/26;0
set/26;0
out/26;0
nov/26;0
dez/26;0
jan/27;0
fev/27;0
mar/27;0
abr/27;0
mai/27;0
jun/27;0
jul/27;0
ago/27;0
set/27;0
out/27;0
nov/27;0
dez/27;0
jan/28;0
fev/28;0
mar/28;0
abr/28;0
mai/28;0
jun/28;0
jul/28;0
ago/28;0
set/28;0
out/28;0
nov/28;0
dez/28;0
jan/29;0
fev/29;0
mar/29;0
abr/29;0
mai/29;0
jun/29;0
jul/29;0
ago/29;0
set/29;0
out/29;0
nov/29;0
dez/29;0
jan/30;0
fev/30;0
mar/30;0
abr/30;0
mai/30;0
jun/30;0
jul/30;0
ago/30;0
set/30;0
out/30;0
nov/30;0
dez/30;0
jan/31;0
fev/31;0
mar/31;0
abr/31;0
mai/31;0
jun/31;0



